Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio,Localizacion
RENAULT - CLIO BUSINESS DCI 75 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-clio-business-dci-75-eco2-295141264.htm,6.500€,año 2013,89.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
CITROEN - C4 1. 6 EHDI 115CV SEDUCTION,www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-1-6-ehdi-115cv-seduction-295023950.htm,7.900€,año 2013,139.000 kms,diesel,114 cv,5 puertas,manual,la_coruna
PEUGEOT - 508 ACTIVE 1. 6 HDI 112CV,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-active-1-6-hdi-112cv-298986402.htm,10.000€,año 2013,92.097 kms,diesel,112 cv,4 puertas,manual,navarra
CITROEN - BERLINGO 1. 6 HDI 90 XTR PLUS,www.milanuncios.com/citroen-de-segunda-mano/citroen-berlingo-1-6-hdi-90-xtr-plus-295668421.htm,7.900€,año 2015,129.000 kms,diesel,92 cv,5 puertas,manual,la_coruna
OPEL - INSIGNIA ST 2. 0 CDTI ECOFLEX SS 140 CV BUSINESS,www.milanuncios.com/opel-de-segunda-mano/opel-insignia-st-2-0-cdti-ecoflex-ss-140-cv-business-295131116.htm,10.500€,año 2015,140.000 kms,diesel,140 cv,5 puertas,manual,la_coruna
PEUGEOT - 2008 STYLE 1. 6 BLUEHDI 100,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-2008-style-1-6-bluehdi-100-298986389.htm,14.800€,año 2017,17.605 kms,diesel,100 cv,5 puertas,manual,navarra
RENAULT - SCENIC INTENS ENERGY DCI 81KW 110CV,www.milanuncios.com/renault-de-segunda-mano/renault-scenic-intens-energy-dci-81kw-110cv-295130511.htm,14.900€,año 2017,59.000 kms,diesel,110 cv,5 puertas,manual,la_coruna
FIAT - PANDA 1. 2 LOUNGE 69CV EU6,www.milanuncios.com/fiat-de-segunda-mano/fiat-panda-1-2-lounge-69cv-eu6-298927054.htm,5.300€,año 2015,74.253 kms,gasolina,69 cv,5 puertas,manual,navarra
VOLKSWAGEN - GOLF ADVANCE 1. 6 TDI 105CV BMT,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-golf-advance-1-6-tdi-105cv-bmt-295014364.htm,9.900€,año 2013,149.000 kms,diesel,105 cv,5 puertas,manual,la_coruna
RENAULT - CLIO III COLLECTION DCI 75 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-clio-iii-collection-dci-75-eco2-293953562.htm,4.900€,año 2012,159.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
SUZUKI - SPLASH 1. 0 GLS,www.milanuncios.com/suzuki-de-segunda-mano/suzuki-splash-1-0-gls-285469613.htm,5.500€,año 2010,46.700 kms,gasolina,65 cv,5 puertas,manual,asturias
RENAULT - LAGUNA EMOTION DCI 110 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-laguna-emotion-dci-110-eco2-296946038.htm,9.900€,año 2014,109.000 kms,diesel,110 cv,5 puertas,manual,la_coruna
AUDI - A1 SPORTBACK 1. 6 TDI 90CV AMBITION,www.milanuncios.com/audi-de-segunda-mano/audi-a1-sportback-1-6-tdi-90cv-ambition-295001636.htm,10.900€,año 2014,109.000 kms,diesel,90 cv,5 puertas,manual,la_coruna
SEAT - LEON 1. 6 TDI 105CV STSP REFERENCE PLUS,www.milanuncios.com/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-stsp-reference-plus-293528663.htm,6.900€,año 2015,200.000 kms,diesel,105 cv,5 puertas,manual,la_coruna
CITROEN - C4 PICASSO 1. 6 EHDI 115CV INTENSIVE,www.milanuncios.com/citroen-de-segunda-mano/citroen-c4-picasso-1-6-ehdi-115cv-intensive-296921945.htm,11.900€,año 2014,79.000 kms,diesel,115 cv,5 puertas,manual,la_coruna
BMW - SERIE 3 318D,www.milanuncios.com/bmw-de-segunda-mano/bmw-serie-3-318d-295599980.htm,13.900€,año 2011,120.000 kms,diesel,143 cv,4 puertas,manual,la_coruna
RENAULT - CLIO III COLLECTION DCI 75 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-clio-iii-collection-dci-75-eco2-295096622.htm,4.900€,año 2014,139.000 kms,diesel,75 cv,5 puertas,manual,la_coruna
OPEL - INSIGNIA ST 2. 0 CDTI ECOFLEX SS 140 CV SELECTIVE,www.milanuncios.com/opel-de-segunda-mano/opel-insignia-st-2-0-cdti-ecoflex-ss-140-cv-selective-292652268.htm,8.900€,año 2014,169.000 kms,diesel,140 cv,5 puertas,manual,la_coruna
VOLKSWAGEN - PASSAT VARIANT 1. 6 TDI 105 ADVANCE BMOTION TECH,www.milanuncios.com/volkswagen-de-segunda-mano/volkswagen-passat-variant-1-6-tdi-105-advance-bmotion-tech-297853796.htm,11.500€,año 2011,88.853 kms,diesel,105 cv,5 puertas,manual,navarra
RENAULT - SCENIC AUTHENTIQUE DCI 95 ECO2,www.milanuncios.com/renault-de-segunda-mano/renault-scenic-authentique-dci-95-eco2-295096512.htm,6.900€,año 2011,99.000 kms,diesel,95 cv,5 puertas,manual,la_coruna
CITROEN - GRAND C4 PICASSO 1. 6 VTI 120CV SEDUCTION,www.milanuncios.com/citroen-de-segunda-mano/citroen-grand-c4-picasso-1-6-vti-120cv-seduction-297017426.htm,10.500€,año 2013,65.000 kms,gasolina,120 cv,5 puertas,manual,asturias
RENAULT - SCENIC LIMITED DCI 110 EDC,www.milanuncios.com/renault-de-segunda-mano/renault-scenic-limited-dci-110-edc-294975098.htm,8.500€,año 2015,129.000 kms,diesel,110 cv,5 puertas,automat,la_coruna
PEUGEOT - 508 BUSINESS LINE 2. 0 HDI 140CV,www.milanuncios.com/peugeot-de-segunda-mano/peugeot-508-business-line-2-0-hdi-140cv-293675604.htm,11.900€,año 2013,119.000 kms,diesel,140 cv,4 puertas,manual,la_coruna
