Coche,Link,Precio,Año,Kms,Combustible,Potencia,Puertas,Cambio
VOLVO - C30 1. 6D MOMENTUM,/volvo-de-segunda-mano/volvo-c30-1-6d-momentum-294871895.htm,6.500€,año 2007,139.000 kms,diesel,109 cv,3 puertas,manual
VOLVO - C70 2. 0D SUMMUM AUTO,/volvo-de-segunda-mano/volvo-c70-2-0d-summum-auto-292367567.htm,11.500€,año 2010,125.000 kms,diesel,136 cv,2 puertas,automat
SEAT - ALTEA 2. 0 TDI 140CV DSG REFERENCE,/seat-de-segunda-mano/seat-altea-2-0-tdi-140cv-dsg-reference-292367556.htm,3.990€,año 2006,140.000 kms,diesel,140 cv,5 puertas,automat
FIAT - 500L 1. 3 16V MJET 70KW 95CV SS LOUNGE AUTO,/fiat-de-segunda-mano/fiat-500l-1-3-16v-mjet-70kw-95cv-ss-lounge-auto-292367510.htm,11.000€,año 2016,43.000 kms,diesel,95 cv,5 puertas,manual
TOYOTA - IQ IQ 1. 0 PACK CONFORT,/toyota-de-segunda-mano/toyota-iq-iq-1-0-pack-confort-296096329.htm,7.490€,año 2012,60.000 kms,gasolina,68 cv,3 puertas,automat
FIAT - PANDA 1. 3 LOUNGE 70KW 95CV DIESEL E6,/fiat-de-segunda-mano/fiat-panda-1-3-lounge-70kw-95cv-diesel-e6-294869655.htm,7.500€,año 2016,24.000 kms,diesel,95 cv,5 puertas,manual
TOYOTA - YARIS 1. 4 D4D TS,/toyota-de-segunda-mano/toyota-yaris-1-4-d4d-ts-292367562.htm,4.500€,año 2010,130.000 kms,diesel,90 cv,3 puertas,manual
LAND-ROVER - FREELANDER 2. 2 TD4 S,/land-rover-de-segunda-mano/land-rover-freelander-2-2-td4-s-292367523.htm,7.990€,año 2008,200.000 kms,diesel,160 cv,5 puertas,manual
JEEP - GRAND CHEROKEE 3. 0 V6 CRD LIMITED,/jeep-de-segunda-mano/jeep-grand-cherokee-3-0-v6-crd-limited-292367515.htm,7.990€,año 2006,195.000 kms,diesel,218 cv,5 puertas,automat
SEAT - LEON 1. 6 TDI 105CV EECOMOTIVE REFERENCE COPA,/seat-de-segunda-mano/seat-leon-1-6-tdi-105cv-eecomotive-reference-copa-294881699.htm,7.900€,año 2011,108.000 kms,diesel,105 cv,5 puertas,manual
RENAULT - KANGOO  COMBI PROFESIONAL DCI,/renault-de-segunda-mano/renault-kangoo-combi-profesional-dci-290787990.htm,7.800€,año 2014,147.000 kms,diesel,75 cv,4 puertas,manual
SUZUKI - GRAND VITARA 4X4,/suzuki-de-segunda-mano/suzuki-grand-vitara-4x4-299592547.htm,9.990€,año 2007,73.900 kms,gasolina,85 cv,3 puertas,manual
AUDI - A4 AVANT 2. 7  TDI,/audi-de-segunda-mano/audi-a4-avant-2-7-tdi-296691690.htm,8.600€,año 2009,150.000 kms,diesel,190 cv,5 puertas,automat
RENAULT - CLIO AUTHENTIQUE DCI 75 ECO2,/renault-de-segunda-mano/renault-clio-authentique-dci-75-eco2-297587452.htm,6.999€,año 2014,71.000 kms,diesel,75 cv,5 puertas,manual
SEAT - LEON 1. 6 TDI 110CV STSP REFERENCE,/seat-de-segunda-mano/seat-leon-1-6-tdi-110cv-stsp-reference-297578131.htm,9.899€,año 2016,68.000 kms,diesel,110 cv,5 puertas,manual
PEUGEOT - 508 ACTIVE 2. 0 HDI 140CV,/peugeot-de-segunda-mano/peugeot-508-active-2-0-hdi-140cv-297254499.htm,11.799€,año 2015,130.000 kms,diesel,140 cv,4 puertas,manual
OPEL - INSIGNIA ST 2. 0 CDTI ECOFLEX SS 140 CV SELECTIVE,/opel-de-segunda-mano/opel-insignia-st-2-0-cdti-ecoflex-ss-140-cv-selective-298030162.htm,8.499€,año 2014,148.000 kms,diesel,140 cv,5 puertas,manual
RENAULT - MEGANE BOSE ENERGY DCI 110,/renault-de-segunda-mano/renault-megane-bose-energy-dci-110-297860422.htm,8.499€,año 2015,71.000 kms,diesel,110 cv,5 puertas,manual
